S No,Title,Author,Stars,Ratings Count,Pages,Publish Date,Publisher,Language
1,Circe,Madeline Miller,4.26,696461,393,"April 10, 2018","Little, Brown and Company",English
2,The Cruel Prince,Holly Black,4.09,655151,370,"January 2, 2018","Little, Brown Books for Young Readers",English
3,The Wicked King,Holly Black,4.34,407116,336,"January 8, 2019","Little, Brown Books for Young Readers",English
4,The Queen of Nothing,Holly Black,4.37,358590,300,"November 19, 2019","Little, Brown",English
5,The Ballad of Songbirds and Snakes,Suzanne Collins,3.83,300228,541,"May 19, 2020",Scholastic Press,English
6,Norse Mythology,Neil Gaiman,4.09,274585,301,"March 6, 2018",W. W. Norton & Company,English
7,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,3.87,242831,432,"September 18, 2018",Sourcebooks Landmark,English
8,Kingdom of Ash,Sarah J. Maas,4.61,244661,984,"October 23, 2018",Bloomsbury YA,English
9,The Institute,Stephen King,4.20,202570,561,"September 10, 2019",Scribner,English
10,King of Scars,Leigh Bardugo,4.18,139603,527,"January 29, 2019",Imprint,English
11,To Kill a Kingdom,Alexandra Christo,3.81,126895,344,"March 6, 2018",Feiwel & Friends,English
12,Kingdom of the Wicked,Kerri Maniscalco,3.97,130904,372,"October 27, 2020",JIMMY Patterson Books,English
13,How to Stop Time,Matt Haig,3.85,116105,352,"June 11, 2019",Penguin Books,English
14,Elevation,Stephen King,3.66,103865,146,"October 30, 2018",Scribner,English
15,Legendary,Stephanie Garber,4.23,115041,451,"May 29, 2018",Flatiron Books,English
16,The Ten Thousand Doors of January,Alix E. Harrow,4.05,100405,374,"September 10, 2019",Redhook,English
17,The Priory of the Orange Tree,Samantha Shannon,4.23,101042,848,"February 26, 2019",Bloomsbury Publishing,English
18,How the King of Elfhame Learned to Hate Stories,Holly Black,4.24,99673,200,"November 24, 2020","Little, Brown Books for Young Readers",English
19,An Enchantment of Ravens,Margaret  Rogerson,3.65,69900,300,"September 26, 2017",Margaret K. McElderry Books,English
20,We Hunt the Flame,Hafsah Faizal,3.95,61183,472,"May 14, 2019","Farrar, Straus and Giroux",English
21,The Dragon Republic,R.F. Kuang,4.39,50806,658,"August 8, 2019",Harper Voyager,English
22,The Betrothed,Kiera Cass,3.00,31357,400,"May 5, 2020",HarperCollins Children's Books,English
23,A Thousand Ships,Natalie Haynes,4.11,39197,368,"January 26, 2021",Harper,NA
24,The Tower of Nero,Rick Riordan,4.53,40248,410,"October 6, 2020",Disney-Hyperion,English
25,The Sentence,Louise Erdrich,4.02,32637,387,"November 9, 2021",Harper,English
26,The Awakening,Nora Roberts,4.26,33464,435,"November 24, 2020",St. Martin's Press,English
27,This Time Tomorrow,Emma Straub,3.90,21011,320,"May 17, 2022",Riverhead Books,English
28,The Becoming,Nora Roberts,4.40,19095,448,"November 23, 2021",St. Martin's Press,English
29,Quicksilver,Dean Koontz,3.91,16821,365,"January 25, 2022",Thomas & Mercer,English
30,Sin & Magic,K.F. Breene,4.38,16199,425,"January 1, 2019",Amazon Digital Services LLC,English
31,How High We Go in the Dark,Sequoia Nagamatsu,3.93,13989,304,"January 18, 2022",William Morrow,English
32,Gwendy's Magic Feather,Richard  Chizmar,3.80,12119,333,"November 19, 2019",Cemetery Dance Publications,English
33,Ciudades de humo,Joana Marcús,4.63,10318,NA,December 2019,Wattpat,Spanish
34,A Throne of Feathers and Bone,Shannon Mayer,4.30,8933,351,"September 27, 2021",Hijinks Ink Publishing,English
35,The Room in the Attic,Louise Douglas,4.34,8733,388,"October 12, 2021",Boldwood Books,NA
36,Gwendy's Final Task,Stephen King,4.17,7552,288,"May 31, 2022",Gallery Books,NA
37,The Bone Witch,Ivy Asher,4.16,6178,292,"November 21, 2020",NA,English
38,A Crown of Petals and Ice,Shannon Mayer,4.13,5134,302,"February 14, 2022",Hijinks Ink Publishing,English
39,Parallel,Elizabeth O'Roark,4.36,5009,286,August 2021,NA,English
40,Wild Knight,Annabel Chase,4.22,4691,242,"November 4, 2021",NA,English
41,Lapvona,Ottessa Moshfegh,3.76,4074,313,"June 21, 2022",Penguin Press,English
42,Death of the Black Widow,James Patterson,3.71,3861,520,"April 19, 2022",Grand Central Publishing,English
43,Daddy Biker Bear,Roxie Ray,4.05,4190,129,"August 3, 2021",NA,English
44,Bow Before the Elf Queen,J.M. Kearl,4.01,3954,598,"April 26, 2022",Independently Published,English
45,He Who Fights with Monsters 5,Shirtaloon,4.59,4359,759,"April 5, 2022",NA,NA
46,The Oceanography of the Moon,Glendy Vanderah,4.15,3859,330,"March 22, 2022",Lake Union Publishing,English
47,Wolf Marked,Veronica Douglas,4.24,3902,291,"July 30, 2021","Magic Side Press, LLC",English
48,Bride of the Shadow King,Sylvia Mercedes,3.92,3284,498,"March 15, 2022",FireWyrm Books,English
49,The Dead Romantics,Ashley Poston,4.19,3449,368,"June 28, 2022",Berkley,English
50,Forbidden Honor,May Dawson,4.30,3257,429,"October 15, 2021",Amazon Digital Services,English
51,Cult Classic,Sloane Crosley,3.50,2602,304,"June 7, 2022",MCD,English
52,Deadly Knight,Annabel Chase,4.32,3000,220,"January 6, 2022",Red Palm Press,English
53,Fate's Ransom,Jeff Wheeler,4.64,3175,455,"January 4, 2022",NA,NA
54,Lore Olympus: Volume Three,Rachel  Smythe,4.61,3060,384,"October 11, 2022",Random House Worlds,English
55,The Primal Hunter,Zogarth,4.33,2798,716,"March 8, 2022",Aethon Books,English
56,One Knight Stand,Annabel Chase,4.36,2629,240,"February 3, 2022",Red Palm Press,English
57,The Magdalene Deception,Gary McAvoy,4.20,2477,368,"July 1, 2020",Literati Editions,English
58,Dragons Are a Girl’s Best Friend,Isla Frost,4.19,2394,326,"October 9, 2021",JFP Press,English
59,Untamed Fate,Veronica Douglas,4.25,2367,374,"October 31, 2021",Veronica Douglas,NA
60,A Rip Through Time,Kelley Armstrong,4.12,2199,342,"May 31, 2022",Minotaur Books,English
61,Knight Ascending,B.M. Clemton,4.27,2255,303,"September 24, 2021",NA,English
62,Blitz,M. Sinclair,4.22,2165,222,"March 7, 2022",Lost & Bound Publishing,English
63,The Measure,Nikki Erlick,4.25,2095,368,"June 28, 2022",William Morrow & Company,English
64,House Of Vampires,Samantha Snow,4.00,1958,185,February 2020,NA,English
65,Dangerous Honor,May Dawson,4.35,2081,419,"December 28, 2021",Independently Published,English
66,He Who Fights with Monsters 6,Shirtaloon,4.66,2215,564,"June 28, 2022",Aethon Books,English
67,Beware of Chicken: A Xianxia Cultivation Novel,CasualFarmer,4.65,2084,NA,"May 24, 2022",Podium Publishing,English
68,Silver Moon,Jen L. Grey,4.36,1910,294,"January 6, 2022",Grey Valor Publishing LLC,English
69,The Peacekeeper,B.L. Blanchard,3.92,1669,312,"June 1, 2022",47North,English
