S No,Title,Author,Stars,Ratings Count,Pages,Publish Date,Publisher,Language
1,The Queen of Nothing,Holly Black,4.37,358967,300,"November 19, 2019","Little, Brown",English
2,The Dragon Republic,R.F. Kuang,4.39,50859,658,"August 8, 2019",Harper Voyager,English
3,The Awakening,Nora Roberts,4.26,33492,435,"November 24, 2020",St. Martin's Press,English
4,The Becoming,Nora Roberts,4.40,19126,448,"November 23, 2021",St. Martin's Press,English
5,Magical Midlife Invasion,K.F. Breene,4.49,9578,362,"November 17, 2020",NA,English
6,Gwendy's Final Task,Stephen King,4.17,7580,288,"May 31, 2022",Gallery Books,English
7,The Oceanography of the Moon,Glendy Vanderah,4.15,3874,330,"March 22, 2022",Lake Union Publishing,English
8,Forbidden Honor,May Dawson,4.30,3271,429,"October 15, 2021",Amazon Digital Services,English
9,Cult Classic,Sloane Crosley,3.50,2655,304,"June 7, 2022",MCD,English
10,The Primal Hunter,Zogarth,4.33,2811,716,"March 8, 2022",Aethon Books,English
11,Darkest Mate,Alexis Calder,4.14,1547,346,"December 21, 2021",Alexis Calder,English
